nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma	feature1	feature2	feature4	mshuffle	feature3
126	5.3	0	2	4	0.8	5	1358	0	7.13E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1886792453	0	8.09E-01	1.08E+00	1.97E+00	0.1	0
127	5.6	0	2	4	0.8	7	1359	0	7.19E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1785714286	0	8.16E-01	1.08E+00	2.35E+00	0.1	0
128	8.6	0	3	1	0.2	1	1360	0	2.78E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1162790698	0	2.78E-01	3.39E+00	1.40E+00	0.1	0
129	7.8	0	3	1	0.2	3	1361	0	2.90E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1282051282	0	2.90E-01	3.36E+00	1.37E+00	0.1	0
130	8.4	0	3	1	0.2	5	1362	0	2.95E-01	1.05E+08	5.35E+07	0.6	1539309568	0.119047619	0	2.95E-01	3.36E+00	1.36E+00	0.1	0
131	9.3	0	3	1	0.2	7	1363	0	2.97E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1075268817	0	2.97E-01	3.35E+00	1.63E+00	0.1	0
132	8.1	0	3	1	0.4	1	1364	0	4.53E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1234567901	0	4.53E-01	1.69E+00	1.40E+00	0.1	0
133	7.6	0	3	1	0.4	3	1365	0	4.78E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1315789474	0	4.78E-01	1.68E+00	1.37E+00	0.1	0
134	7.4	0	3	1	0.4	5	1366	0	4.86E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1351351351	0	4.86E-01	1.68E+00	1.36E+00	0.1	0
135	7.6	0	3	1	0.4	7	1367	0	4.90E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1315789474	0	4.90E-01	1.68E+00	1.63E+00	0.1	0
136	6.9	0	3	1	0.6	1	1368	0	4.42E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1449275362	0	6.28E-01	1.36E+00	1.40E+00	0.1	0
137	5.5	0	3	1	0.6	3	1369	0	6.65E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1818181818	0	6.65E-01	1.12E+00	1.37E+00	0.1	0
138	5.8	0	3	1	0.6	5	1370	0	6.78E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1724137931	0	6.78E-01	1.12E+00	1.36E+00	0.1	0
139	6.6	0	3	1	0.6	7	1371	0	6.84E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1515151515	0	6.84E-01	1.12E+00	1.63E+00	0.1	0
140	7.8	0	3	1	0.8	1	1372	0	4.42E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1282051282	0	7.15E-01	1.36E+00	1.40E+00	0.1	0
141	4.9	0	3	1	0.8	3	1373	0	6.65E-01	1.05E+08	5.35E+07	0.6	1539309568	0.2040816327	0	7.59E-01	1.12E+00	1.37E+00	0.1	0
142	5.8	0	3	1	0.8	5	1374	0	6.78E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1724137931	0	7.74E-01	1.12E+00	1.36E+00	0.1	0
143	5.7	0	3	1	0.8	7	1375	0	6.84E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1754385965	0	7.81E-01	1.12E+00	1.63E+00	0.1	0
144	6.5	0	3	2	0.2	1	1376	0	3.13E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1538461538	0	3.13E-01	3.39E+00	1.79E+00	0.1	0
145	6.6	0	3	2	0.2	3	1377	0	3.25E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1515151515	0	3.25E-01	3.36E+00	1.74E+00	0.1	0
146	7.1	0	3	2	0.2	5	1378	0	3.29E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1408450704	0	3.29E-01	3.36E+00	1.72E+00	0.1	0
147	7.5	0	3	2	0.2	7	1379	0	3.31E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1333333333	0	3.31E-01	3.35E+00	2.06E+00	0.1	0
148	6.5	0	3	2	0.4	1	1380	0	4.88E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1538461538	0	4.88E-01	1.69E+00	1.79E+00	0.1	0
149	5.7	0	3	2	0.4	3	1381	0	5.13E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1754385965	0	5.13E-01	1.68E+00	1.74E+00	0.1	0
150	5.9	0	3	2	0.4	5	1382	0	5.21E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1694915254	0	5.21E-01	1.68E+00	1.72E+00	0.1	0
151	6.3	0	3	2	0.4	7	1383	0	5.25E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1587301587	0	5.25E-01	1.68E+00	2.06E+00	0.1	0
152	5.3	0	3	2	0.6	1	1384	0	4.76E-01	1.05E+08	5.35E+07	0.6	1539309568	0.1886792453	0	6.63E-01	1.36E+00	1.79E+00	0.1	0
153	4.7	0	3	2	0.6	3	1385	0	7.00E-01	1.05E+08	5.35E+07	0.6	1539309568	0.2127659574	0	7.00E-01	1.12E+00	1.74E+00	0.1	0
