nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma	feature1	feature2	feature3	mshuffle
92	24	1	2	2	0.8	1	522	1.5	3.04E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04166666667	0.002450980392	8.19E-01	1.73E+00	0	0
93	11	1	2	2	0.8	3	523	0.6875	7.54E-01	1.33E+08	7.14E+07	0.8	2308964352	0.09090909091	0.005347593583	8.69E-01	1.15E+00	0	0
94	17	3	2	2	0.8	5	524	3.1875	8.86E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05882352941	0.009287925697	8.86E-01	1.07E+00	0	0
95	12	3	2	2	0.8	7	525	2.25	8.94E-01	1.33E+08	7.14E+07	0.8	2308964352	0.08333333333	0.01315789474	8.94E-01	1.07E+00	0	0
96	80	0	2	3	0.2	1	526	0	3.25E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0125	0	3.25E-01	4.33E+00	0	0
97	80	0	2	3	0.2	3	527	0	3.38E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0125	0	3.38E-01	4.31E+00	0	0
98	80	0	2	3	0.2	5	528	0	3.42E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0125	0	3.42E-01	4.30E+00	0	0
99	80	0	2	3	0.2	7	529	0	3.44E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0125	0	3.44E-01	4.30E+00	0	0
100	19	0	2	3	0.4	1	530	0	5.00E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05263157895	0	5.00E-01	2.16E+00	0	0
101	20	1	2	3	0.4	3	531	1.25	5.25E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0.002941176471	5.25E-01	2.15E+00	0	0
102	23	0	2	3	0.4	5	532	0	5.34E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04347826087	0	5.34E-01	2.15E+00	0	0
103	23	0	2	3	0.4	7	533	0	5.38E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04347826087	0	5.38E-01	2.15E+00	0	0
104	22	0	2	3	0.6	1	534	0	5.10E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04545454545	0	6.75E-01	1.73E+00	0	0
105	17	0	2	3	0.6	3	535	0	7.13E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05882352941	0	7.13E-01	1.44E+00	0	0
106	20	0	2	3	0.6	5	536	0	7.25E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0	7.25E-01	1.43E+00	0	0
107	19	1	2	3	0.6	7	537	1.1875	7.31E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05263157895	0.003095975232	7.31E-01	1.43E+00	0	0
108	24	1	2	3	0.8	1	538	1.5	3.35E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04166666667	0.002450980392	8.50E-01	1.73E+00	0	0
109	14	4	2	3	0.8	3	539	3.5	7.85E-01	1.33E+08	7.14E+07	0.8	2308964352	0.07142857143	0.01428571429	9.00E-01	1.15E+00	0	0
110	13	4	2	3	0.8	5	540	3.25	9.17E-01	1.33E+08	7.14E+07	0.8	2308964352	0.07692307692	0.01538461538	9.17E-01	1.07E+00	0	0
111	12	4	2	3	0.8	7	541	3	9.25E-01	1.33E+08	7.14E+07	0.8	2308964352	0.08333333333	0.01666666667	9.25E-01	1.07E+00	0	0
112	80	0	2	4	0.2	1	542	0	3.56E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0125	0	3.56E-01	4.33E+00	0	0
113	80	0	2	4	0.2	3	543	0	3.69E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0125	0	3.69E-01	4.31E+00	0	0
