nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap
133	16	1	3	1	0.4	3	563	0.6666666667	5.08E-01	1.33E+08	7.14E+07	0.8	1539309568
134	17	1	3	1	0.4	5	564	0.7083333333	5.16E-01	1.33E+08	7.14E+07	0.8	1539309568
135	18	0	3	1	0.4	7	565	0	5.20E-01	1.33E+08	7.14E+07	0.8	1539309568
136	18	0	3	1	0.6	1	566	0	4.35E-01	1.33E+08	7.14E+07	0.8	1539309568
137	16	0	3	1	0.6	3	567	0	6.95E-01	1.33E+08	7.14E+07	0.8	1539309568
138	13	0	3	1	0.6	5	568	0	7.08E-01	1.33E+08	7.14E+07	0.8	1539309568
139	15	0	3	1	0.6	7	569	0	7.14E-01	1.33E+08	7.14E+07	0.8	1539309568
140	20	6	3	1	0.8	1	570	5	2.60E-01	1.33E+08	7.14E+07	0.8	1539309568
141	12	2	3	1	0.8	3	571	1	7.10E-01	1.33E+08	7.14E+07	0.8	1539309568
142	10	0	3	1	0.8	5	572	0	8.60E-01	1.33E+08	7.14E+07	0.8	1539309568
143	15	2	3	1	0.8	7	573	1.25	9.08E-01	1.33E+08	7.14E+07	0.8	1539309568
144	80	0	3	2	0.2	1	574	0	3.54E-01	1.33E+08	7.14E+07	0.8	1539309568
145	80	0	3	2	0.2	3	575	0	3.66E-01	1.33E+08	7.14E+07	0.8	1539309568
146	80	0	3	2	0.2	5	576	0	3.71E-01	1.33E+08	7.14E+07	0.8	1539309568
147	80	0	3	2	0.2	7	577	0	3.73E-01	1.33E+08	7.14E+07	0.8	1539309568
148	20	0	3	2	0.4	1	578	0	5.29E-01	1.33E+08	7.14E+07	0.8	1539309568
149	19	0	3	2	0.4	3	579	0	5.54E-01	1.33E+08	7.14E+07	0.8	1539309568
150	40	1	3	2	0.4	5	580	1.666666667	5.62E-01	1.33E+08	7.14E+07	0.8	1539309568
